,original,translation
957,Шелков веник — бумажное тело.,"Silk broom, paper body."
4409,А вы по мизеру тащитесь и ловите кайф на чужом напряге.,And you drag yourself around a little and catch the buzz on someone else's tension.
4083,"Снятся людям иногда голубые города, у которых названия нет ::","Sometimes blue cities, which do not have a name, are taken down by people:"
351,"Кошка любит молоко, да рыло коротко.","The cat loves milk, but the fish is short."
6311,"От вовлечения в добро спасал только каменный покер-фейс и подчёркнутое дистанцирование от коллектива, благо ""варяги"" и ненадолго.","Only the stone poker face and the emphasized distance from the collective, the good of the ""Vikings,"" and for a short time, saved from involvement in good."
6567,"Все радые, все смеются","Everyone's happy, everyone's laughing"
707,Тульповоды и те у кого есть воображаемые друзья.,Tourists and those with imaginary friends.
2088,"верить ей, или же он обосралась и поэтому всячески выворачивается?","Do you believe her, or is he deluded and so out of touch?"
3282,Название ссылки | Название ссылки,Link name | Link name
5712,"Карикатуры с конкурса карикатур на Мухаммеда, прошедшего в Техасе",Cartoons from the Muhammad cartoon contest held in Texas
1006,"В 2019 году в прокат вышли три фильма, где в числе действующих лиц — участники тоталитарных сект.",Three films featuring members of totalitarian sects are set for release in 2019.
4219,"Вас будут и дальше взрывать, если вы не будете с нами сотрудничать.",You will continue to be blown up if you do not cooperate with us.
4444,"Делитесь этим видео с друзьями, если не боитесь его угроз | 09.02.2018.",Share this video with friends if you are not afraid of his threats | 09.02.2018.
4273,Google начал блокировать запрещенные в России сайты,Google has begun to block sites banned in Russia
249,"А если так, зачем доплачивать за сжижение? В результате часть запасов российского сахалинского шельфа могут попасть в Китай по новому трубопроводу.","If so, why pay extra for liquefaction? As a result, some of Russia's Sakhalin shelf reserves could reach China via a new pipeline."
3646,В июне батюшка овес до половины только урос.,"In June, Father oats up to half only harvest."
3125,"избрание Зеленского президентом абсурдно, но нужно дать ему шанс","Zelensky's election as president is absurd, but he should be given a chance"
3260,Стрелявший был убит.,The gunman was killed.
3830,"Сам бей, а другим бить не давай!","Beat yourself, and don't beat others!"
5551,Свою помощь в реставрации собора и сборе средств на это предложили международные организации и крупные компании.,International organizations and large companies offered their help in restoring the cathedral and raising funds for it.
1538,"— Нет, я просто…","No, I'm just saying."
4151,И пошел он в другой город с братушками.,And he went to another city with his brothers.
5390,За правое дело своей головы не жалей и чужой не милуй.,"Don't spare your head for the righteous cause, and don't have mercy on a stranger."
2852,Тем временем Владимир Путин отдал распоряжение помочь в восстановлении сирийской гидроэлектростанции.,"Meanwhile, Vladimir Putin has ordered assistance in the reconstruction of a Syrian hydroelectric power plant."
733,Большинство же настроено иначе.,Most are not.
6684,Этим героям стал наш парень по имени Рин .,These heroes were our guy named Rin.
4514,Пишет Два Капитана (2k),Writes Two Captains (2k)
3054,"«Этот конкретный случай еще раз показывает, насколько важно сегодня наличие профсоюза в компаниях».",This particular case shows once again how important it is today to have a union in companies.
785,Что происходит с российской властью?,What is happening to the Russian government?
2564,Явка избирателей будет фальсифицирована,Voter turnout will be rigged
2785,Самое лучшее качество трека «Aguardiente» в формате .mp3. — слушайте онлайн и бесплатно,Listen online and for free to the best Guardiente track in .mp3 format
6227,"Чулки новы, пятки голы.","Stockings are new, heels are goals."
3006,Боязливому по ухо — смелому по колено.,"Fearful in the ear, bold in the knee."
5249,"Знай, солдат, честь: погрелся, да и вон!","Know, soldier, honor: warmed up, and out!"
663,Одна из причин воздержания еврейских солдат перед арабскими женщинами – это опасение демографического характера:,One reason Jewish soldiers abstain from Arab women is a fear of demographics:
3413,Имени Христоса ордена Октябрьской Революции и Трудового Красного Знамени фестиваль,The Names of Christ of the Order of the October Revolution and the Red Banner of Labor Festival
5351,После публичной жалобы Павла Дурова Apple разрешила первое с апреля обновление «Телеграма» для iOS-пользователей,"After a public complaint by Pavel Durov, Apple allowed the first update to Telegram for iOS users since April"
4737,И что самое милое делают девушки по-вашему мнению?,And what is the cutest thing girls do in your opinion?
6196,"Губернатор Калужской области Анатолий Артамонов предложил демонстрировать мощи христианских святых в музеях, чтобы привлечь туда посетителей","The Governor of Kaluga Region, Anatoly Artamonov, offered to display the relics of Christian saints in museums to attract visitors there."
4877,Он умер от удушения,He died of asphyxiation
4372,Есть очень неплохие молодые педагоги.,There are some very good young teachers.
2678,"После чего последовал ор в мою сторону что н всегда за собой убирает, вчера его вообще небыло.","Then there was an argument in my direction that he was always cleaning up, he wasn't there at all yesterday."
5873,"Когда в России придет время перемен, серьезные ошибки, допущенные в 1990-е годы, не должны повториться""","When the time comes for change in Russia, the serious mistakes made in the 1990s must not be repeated. """
4307,"Страшна Сибирь слухом, а люди лучше нашего живут.","Siberia is terrible by hearing, and people live better than ours."
2186,"Когда мне было 15 лет, в ходе классного часа учительница эмоционально призывала всех непременно запомнить момент, в котором мы тогда жили. Ведь на дворе 2003-й год, Россия уже три года как встаёт с колен, а президент поставил грандиозную, но выполнимую цель – удвоить ВВП за 10 лет.","When I was 15 years old, during the classroom hour, the teacher emotionally urged everyone to remember the moment we were living in. After all, it was 2003, Russia had been on its knees for three years, and the president had set an ambitious but achievable goal of doubling GDP in 10 years."
3659,"Обзор начинается с ""железного Феликса"", по ссылке есть другое техноретро","Review begins with ""Iron Felix,"" there's another techno-retro link"
4329,"Это сина,и он ну ооччень сильно хочет встретиться с котом Арчи.","It's a siren, and he really wants to meet Archie's cat."
1900,Богатство — вода: пришла и ушла.,Wealth and water: come and go.
6909,Меня не интересовали отношения и вообще воротило от любви/нежностей и т.п.,"I wasn't interested in relationships and was generally attracted to love / tenderness, etc."
4234,"Вернее, все отдать вам, кроме двух машин.","Or rather, give you everything except two cars."
6435,"Но её не брали на эту должность, потому что она была не готова работать сразу на две ставки, только на одну.","But she wasn't hired because she wasn't ready to work two jobs at once, only one."
6810,"Не пригож лицом, да хорош умом.","Not fit for purpose, but good in mind."
4370,"Не молвя, крепись, а молвя, держись.","Hold not by speaking, but by speaking, holding."
2346,А дальше я уж и сама догадаюсь как правильно релаксировать.,And then I'll figure out how to relax properly myself.
1131,"Есть случаи, когда дети выбирают предмет для сдачи наобум, совершенно не готовясь и плохо зная даже элементарное.","There are cases when children choose a subject to pass randomly, with no preparation at all and little knowledge of even the most basic."
1739,"С пылу, с жару - обсуждаем только что завершившуюся кампанию.","With fervor, with heat, we discuss the campaign that has just ended."
5132,Люди начинают задумываться ::,People are starting to think:
2644,Третий поход на Корсунь.,The third march to Korsun.
5137,"Есть ещё куча других каналов в которых публикуется по одному два поста в день, когда в этом по 10 и всё самое актуальное не каких повторов и всё публикуется и подписывается по именно, все самые популярные русские блогерши стримерши и знаменитости без одежды уже были слиты.","There are still a lot of other channels that publish one two posts a day, when there are 10 and all the most relevant things are not repeated and everything is published and subscribed to exactly, all the most popular Russian bloggers streamers and celebrities without clothes have already been merged."
2390,"Ты посмотри, где я, а где скала!",Look where I am and where the rock is!
3291,"Приступили к Нему лохи иерусалимские и решили Его напрячь, спрашивая:","And the elbows of Jerusalem came to him, and decided to strain him, saying,"
5776,"Охал дядя, на чужие деньги глядя.","Uncle was around, looking at other people's money."
6058,480 ГБ SSD-накопитель Crucial BX500,480 GB Crucial BX500 SSD drive
3727,"Европейские работодатели имеют право запрещать сотрудницам носить мусульманские головные платки на рабочем месте, постановил Европейский суд в Люксембурге, высшая судебная инстанция Евросоюза.","European employers have the right to ban female employees from wearing Muslim headscarves in the workplace, the European Court of Justice in Luxembourg, the EU's highest court, has ruled."
4160,"Путин будет назначать президента Украины, идет подкуп олигархов и спецслужб, гражданское общество очень слабо, Украина свернула с пути демократических преобразований ::","Putin will appoint Ukraine's president, oligarchs and special services are being bribed, civil society is very weak, Ukraine has veered off the path of democratic transformation:"
6329,"За норму проголосовали 55,56% избирателей кантона.",55.56% of voters in the canton voted in favour of the norm.
70,Православный священник годами совращал мальчиков.,An Orthodox priest abused boys for years.
4357,"Честный ответ на этот вопрос, однако, может быть только отрицательным.","The honest answer, however, can only be no."
4682,"Все это говорит о том, что Китай и США, по-видимому, взяли решение этой проблемы в свои руки.",All of this suggests that China and the US seem to have taken matters into their own hands.
6326,"Телефонный звонок Трампа-Сондленда был впервые раскрыт в среду Биллом Тейлором, исполняющим обязанности посла в Киеве, который сказал следователям, что Холмс сообщил ему об этом. Значение показаний Холмса заключается в том, что он доказывает, что Трамп лично руководил давлением, оказываемым на Зеленского, и что Сондленд ежедневно отчитывался перед ним.","The Trump-Sondland phone call was first revealed on Wednesday by Bill Taylor, the acting ambassador to Kiev, who told investigators that Holmes had told him."
4395,"Слово — не воробей, вылетит — не поймаешь.","The word ""not sparrow"" will fly out and you won't catch it."
4635,Особое мнение с Александром Невзоровым,Dissenting opinion with Alexander Nevzorov
296,"Как наденут венец, так всему конец.","As the crown is put on, so is the end of everything."
1267,Есть два вопроса к девушкам/женщинам,There are two questions for girls / women
6705,Погулять мы не может так как она всегда занята.,We can't walk because she's always busy.
2625,Иисус же недавно завязал и сидел потому как стекло.,"Jesus, however, recently tied up and sat like a glass."
1392,Сообщество «Основы православия» заподозрили в оскорблении чувств верующих,Foundations of Orthodoxy community suspected of insulting the feelings of believers
3392,"Россияне всё больше пьют то, что попроще и погаже",Russians are increasingly drinking things that are simpler and lighter
4542,Как Пугачёва и Жванецкий боролись с путчем,How Pugacheva and Zhvanetsky fought the putsch
3002,"Бойкий наскачет, а не тихого другой нанесет.","A fighter will jump, not a silent one."
2928,В карете цугом по грибы не ездят.,Mushrooms are not allowed in the carriage.
1291,"Привет. Я Маша,задавайте вопросы🙂","Hi, I'm Masha, ask questions."
3821,"Не пренебрегайте питием, но и знайте меру.","Don't neglect to drink, but also know the measure."
2467,"Кто решит, тот получит...",Whoever decides will get...
2022,"Богатый и не тужит, да скучает.","Rich and not dull, but bored."
4206,"Назови мужика братом, а он уж норовит и в отцы.","Call the peasant a brother, and he is also a father."
60,Отношения и бла-бла-бла я здесь за советом .,Relationships and blah blah blah I'm here for advice.
6317,будет интересно прочесть ваши ситуации,will be interesting to read your situations
6279,"Он уже однажды изменил свои показания, но не раскрыл этот разговор с президентом.","He has already changed his testimony once, but has not disclosed that conversation with the president."
321,"Там присутствовали руководители всех силовых структур и спецслужб как предыдущей администрации, так и трамповской.",The heads of all the security agencies and special services of both the previous administration and the Trump administration were present.
6045,Харламов - не куколд!,Kharlamov is not a puppet!
1373,Православные активисты пожаловались на порнографию в финском спектакле,Orthodox activists complain about pornography in Finnish play
660,"Переехал два года назад, могу ответить на ваши вопросы","Moved two years ago, I can answer your questions"
2322,"Законопроект о введении штрафов за нарушения в деятельности СМИ, признанных иностранными агентами, ко второму чтению будет дополнен нормой о признании иноагентами физических лиц. Об этом рассказал журналистам глава временной комиссии Совфеда по защите госсуверенитета Андрей Климов.","The bill on the introduction of fines for violations in the activities of mass media recognized as foreign agents will be supplemented by a rule on the recognition of individuals as foreign agents by the second reading. This was told to journalists by Andrei Klimov, head of the temporary commission of the Council of Feds for the protection of state sovereignty."
4971,Инициатива основана на законе 1907 года о разделении церкви и государства.,The initiative is based on the 1907 law on the separation of church and state.
952,И самая слабая из них это королевство людей.,And the weakest of them is the kingdom of men.
936,"Ну мелкобуржуазная КПРФ, а у тебя во власти сейчас кто? Или ты готов терпеть и дальше все скотские законы, которые всенепременно примут после выборов, лишь бы принципами не поступиться? Ну окей.","Well, petty-bourgeois CPRF, but who is in power now? Or are you prepared to tolerate all the cattle laws that will be adopted after the elections, so as not to compromise on principles?"
5443,Руководство общежития это отрицает,Hostel management denies this
2947,Агриппине засвербило в спине.,Agrippine gleamed in his back.
1780,"Но не менее важно то, о чем она их не спросила","But just as important, she didn't ask them."
